Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
10/06/2023,EQ,"3,591.00","3,634.95","3,575.05","3,589.35","3,621.25","3,621.40","3,606.29","3,634.95","2,974.00","20,75,691","7,48,55,47,134.95","1,57,117"
10/05/2023,EQ,"3,554.00","3,624.00","3,551.20","3,537.75","3,590.00","3,589.35","3,589.48","3,633.75","2,974.00","29,90,768","10,73,53,00,327.60","1,95,202"
10/04/2023,EQ,"3,486.30","3,548.00","3,477.30","3,513.85","3,545.00","3,537.75","3,504.95","3,633.75","2,974.00","17,88,138","6,26,73,37,422.00","1,02,259"
10/03/2023,EQ,"3,534.20","3,534.20","3,480.10","3,528.60","3,507.10","3,513.85","3,508.19","3,633.75","2,974.00","19,48,148","6,83,44,65,531.05","1,34,041"
09/29/2023,EQ,"3,537.20","3,568.45","3,505.55","3,536.75","3,525.00","3,528.60","3,536.95","3,633.75","2,926.10","22,43,791","7,93,61,67,438.85","1,34,776"
09/28/2023,EQ,"3,600.00","3,602.80","3,527.35","3,589.30","3,549.00","3,536.75","3,558.09","3,633.75","2,926.10","17,55,753","6,24,71,35,882.45","1,27,091"
09/27/2023,EQ,"3,590.00","3,614.00","3,555.70","3,585.70","3,586.00","3,589.30","3,587.16","3,633.75","2,926.10","15,41,134","5,52,82,96,992.85","1,04,230"
09/26/2023,EQ,"3,567.60","3,594.95","3,536.00","3,577.15","3,590.00","3,585.70","3,561.51","3,633.75","2,926.10","17,26,062","6,14,73,86,173.95","1,13,798"
09/25/2023,EQ,"3,602.50","3,620.00","3,558.65","3,603.65","3,569.80","3,577.15","3,579.70","3,633.75","2,926.10","12,38,778","4,43,44,48,253.85","82,519"
09/22/2023,EQ,"3,584.00","3,633.75","3,565.05","3,585.30","3,604.00","3,603.65","3,605.09","3,633.75","2,926.10","19,89,083","7,17,08,27,508.35","1,52,937"
09/21/2023,EQ,"3,588.55","3,605.00","3,528.00","3,606.05","3,586.00","3,585.30","3,559.97","3,625.00","2,926.10","20,04,073","7,13,44,47,228.50","1,51,219"
09/20/2023,EQ,"3,580.00","3,625.00","3,580.00","3,606.15","3,600.10","3,606.05","3,612.14","3,625.00","2,926.10","16,49,396","5,95,78,55,338.40","1,27,927"
09/18/2023,EQ,"3,580.05","3,619.30","3,575.25","3,598.30","3,605.00","3,606.15","3,605.10","3,619.30","2,926.10","13,95,753","5,03,18,35,082.65","97,296"
